Course Title,Credits,Prerequisites,Concurrent Enrollment,Major
PHIL 3250 - Philosophy of Religion,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 3300 - Philosophy of the Human Person,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 3360 - Medical Ethics,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 3380 - Business Ethics,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 3400 - Ethics & Engineering,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 3420 - Environmental and Ecological Ethics,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 3430 - Philosophy of Law,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 3450 - Disaster Narratives,Credit(s): 3 Credits,"ENGL 1900, ENGL 1920, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 3480 - Jewish Life: Bible to Middle Ages,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 3490 - Jewish Life: Middle Ages to Modern Times,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 3510 - Philosophy in Film,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 3600 - Science and Religion,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 3700 - Sustainable Happiness,Credit(s): 3 Credits,"CORE 1000, CORE 1500",Concurrent enrollment allowed.,Philosophy (PHIL)
PHIL 3910 - Internship,Credit(s): 1-6 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 3930 - Special Topics,Credit(s): 3-4 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 3980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 4040 - Symbolic Logic,Credit(s): 3 Credits,"PHIL 2050, MATH 1200, MATH 1200",NaN,Philosophy (PHIL)
PHIL 4090 - Topics in Advanced Logic,Credit(s): 3 Credits (Repeatable for credit),PHIL 4040,NaN,Philosophy (PHIL)
PHIL 4120 - Topics in Epistemology,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4150 - Philosophy of Science,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4160 - Philosophy and Physics,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4190 - Gender and Science,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4210 - Topics in Metaphysics,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4260 - Philosophy of Mind,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4280 - Biology and Mind,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4310 - Topics in Ethics,Credit(s): 3 Credits (Repeatable for credit),"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4315 - Applying Ethics: Reflecting on Particular Moral Issues,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4320 - Feminism and the History of Ethics,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4350 - Survey of Social and Political Philosophy,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4360 - Topics in Social & Political Philosophy,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4400 - History of Ancient Greek Philosophy,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 4500 - Medieval Philosophy,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 4570 - Latin Paleography,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4600 - History of Modern Philosophy,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4720 - Topics Continental Philosophy,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4740 - Philosophy of Karl Marx,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4750 - Latin American Philosophy,Credit(s): 3 Credits,"PHIL 2050, PHIL 1700, PHIL 1707",NaN,Philosophy (PHIL)
PHIL 4760 - Spanish Philosophy,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 4800 - Topics and Movements in Contemporary Philosophy,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707",NaN,Philosophy (PHIL)
PHIL 4810 - Philosophy of Feminism,Credit(s): 3 Credits,"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4820 - Philosophy and Race,Credit(s): 3 Credits,PHIL 2050,NaN,Philosophy (PHIL)
PHIL 4825 - Philosophy & Whiteness,Credit(s): 3 Credits,"PHIL 1700, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4840 - Catholic Social Thought,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4850 - Topics in Philosophical Anthropology,Credit(s): 3 Credits (Repeatable for credit),PHIL 2050,NaN,Philosophy (PHIL)
PHIL 4880 - Senior Inquiry: Project,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 4910 - Internship,Credit(s): 1-6 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 4930 - Special Topics,Credit(s): 3 or 4 Credits (Repeatable for credit),"PHIL 1700, PHIL 1707, PHIL 2050",NaN,Philosophy (PHIL)
PHIL 4980 - Advanced Independent Study,Credit(s): 0-4 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5100 - Problems in Epistemology,Credit(s): 3 Credits,NaN,NaN,Philosophy (PHIL)
PHIL 5200 - Problems in Metaphysics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5250 - Philosophy of Religion,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,Philosophy (PHIL)
PHIL 5300 - Problems in Ethical Theories,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5400 - Problems in Social & Political Philosophy,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5450 - Ancient Philosophy,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,Philosophy (PHIL)
PHIL 5500 - Medieval Philosophy,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,Philosophy (PHIL)
PHIL 5600 - Modern Philosophy,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,Philosophy (PHIL)
PHIL 5700 - Contemporary Philosophy,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5930 - Special Topics in Philosophy,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5970 - Research Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 5990 - Thesis Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6000 - Seminar in Major Philosopher in Ethics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6200 - Philosophy of Science,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6220 - Advanced Logic,Credit(s): 3 Credits,PHIL 4040,NaN,Philosophy (PHIL)
PHIL 6260 - Problems in Philosophy of Religion,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6300 - Advanced Ethics,Credit(s): 3 Credits (Repeatable up to 12 credits),NaN,NaN,Philosophy (PHIL)
PHIL 6320 - Advanced Metaphysics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6340 - Advanced Epistemology,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6360 - Seminar in Political Philosophy,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,Philosophy (PHIL)
PHIL 6380 - Seminar in Aesthetics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6400 - Ancient Philosophy,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6450 - Medieval Philosophy,Credit(s): 3 Credits (Repeatable up to 12 credits),NaN,NaN,Philosophy (PHIL)
PHIL 6500 - Modern Philosophy,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6550 - Contemporary Philosophy,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6800 - Prospectus,Credit(s): 3-6 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6920 - Philosophy Pedagogy,Credit(s): 0 Credits (Repeatable up to 9 credits),NaN,NaN,Philosophy (PHIL)
PHIL 6930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6970 - Graduate Research Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PHIL 6990 - Dissertation Research,Credit(s): 0-9 Credits (Repeatable for credit),NaN,NaN,Philosophy (PHIL)
PLJ 1010 - Ecclesiastical Latin I,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 1020 - Ecclesiastical Latin II,Credit(s): 3 Credits,PLJ 1010,NaN,Philosophy and Letters (PLJ)
PLJ 1050 - Catechism I: Catholic Doctrine,Credit(s): 2 or 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 2000 - Introduction to Philosophy,Credit(s): 1-3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 2010 - Ecclesiastical Latin III,Credit(s): 3 Credits,"PLJ 1010, PLJ 1020",NaN,Philosophy and Letters (PLJ)
PLJ 2020 - Ignatian Humanism,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 2050 - Catholic Morality,Credit(s): 2 or 3 Credits,PLJ 1050,NaN,Philosophy and Letters (PLJ)
PLJ 2800 - Biblical Greek I,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 2930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3000 - Logic and Epistemology,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
"PLJ 3050 - Liturgy and Sacraments I: Baptism, Confirmation, Eucharist",Credit(s): 2 or 3 Credits,PLJ 1050,NaN,Philosophy and Letters (PLJ)
"PLJ 3055 - Liturgy and Sacraments II: Reconciliation, Anointing of the Sick, Holy Orders, Marriage",Credit(s): 2 or 3 Credits,"PLJ 1050, PLJ 3050",NaN,Philosophy and Letters (PLJ)
PLJ 3060 - Introduction to Scripture: Biblical Hermeneutics and Salvation History,Credit(s): 2 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3100 - Ancient Philosophy,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3150 - Philosophy of Nature,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3200 - Medieval Philosophy,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3300 - Philosophical Anthropology,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3550 - Church History I,Credit(s): 2 or 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3555 - Church History II,Credit(s): 2 or 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3660 - Topics in Sacred Music,Credit(s): 2 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3665 - Music for Worship,Credit(s): 1-2 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4000 - Metaphysics,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4050 - Christian Prayer,Credit(s): 1-3 Credits (Repeatable for credit),PLJ 1050,NaN,Philosophy and Letters (PLJ)
PLJ 4100 - Modern Philosophy,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4250 - Natural Theology,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4310 - Ethics,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4350 - Social-Political Philosophy,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4800 - Contemporary Philosophy,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4900 - Integration Seminar,Credit(s): 1-3 Credits (Repeatable up to 12 credits),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),"PLJ 3000, PHIL 2050",NaN,Philosophy and Letters (PLJ)
PLJ 4960 - Capstone Project,Credit(s): 3 Credits,"PHIL 1700, PHIL 2050, PHIL 3250, PHIL 3300, PHIL 4500, PHIL 4600",Concurrent enrollment allowed.,Philosophy and Letters (PLJ)
PLJ 4965 - Philosophy Capstone: Faith & Reason,Credit(s): 2 or 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 4980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 5900 - Integration Seminar,Credit(s): 1-3 Credits (Repeatable up to 12 credits),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 5930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PLJ 5960 - Capstone Project,Credit(s): 3 Credits,NaN,NaN,Philosophy and Letters (PLJ)
PLJ 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Philosophy and Letters (PLJ)
PMR 0101 - Orthopedic Physical Therapy for Musculoskelatal Disorders,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Physical Medicine and Rehabilitation (PMR)
PMR 0302 - Physical Medicine and Rehabilitation Career Exploration,Credit(s): 1-2 Credits (Repeatable for credit),NaN,NaN,Physical Medicine and Rehabilitation (PMR)
PMR 0304 - Pediatric Physical Medicine and Rehab-Ranken Jordan Career Exploration,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Physical Medicine and Rehabilitation (PMR)
PMR 0305 - PM&R SSM Rehabilitation Career Exploration,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Physical Medicine and Rehabilitation (PMR)
PMR 0901 - Physical Medicine & Rehabilitation Direct Patient Care,Credit(s): 1-12 Credits (Repeatable for credit),NaN,NaN,Physical Medicine and Rehabilitation (PMR)
DPT 1111 - Self and Community in PT,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
"DPT 1212 - Fueling the Fire, Discovering Your Passion",Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 2213 - Professionalism and Physical Therapy Thought,Credit(s): 1 Credit,CORE 1500,Concurrent enrollment allowed.,Physical Therapy (DPT)
DPT 2930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 3214 - Reflections on the Core and the Future,Credit(s): 1 Credit,"CORE 1500, CORE 1500, CORE 1500, CORE 1500, CORE 1500, CORE 1500, CORE 1500",NaN,Physical Therapy (DPT)
DPT 3230 - Exercise Physiology,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 4910 - Internship,Credit(s): 1-6 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 4930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 4980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 5123 - Clinical Gait,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5125 - Therapeutic Modalities,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5127 - Basic Examination,Credit(s): 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5130 - System-Based Pathology,Credit(s): 4 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5132 - Pharmacology,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 5133 - Lab Studies & Imaging,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5134 - Multi System Management,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5135 - Cardiopulmonary Conditions,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5137 - Aspects of Nutrition,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5142 - Evidence Based Practice,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5147 - Human Growth and Development,Credit(s): 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5149 - Applied Neuroscience,Credit(s): 0 or 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5162 - Musculoskeletal Conditions II,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5215 - Professional Development I,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5218 - Effective Communication and Teaching,Credit(s): 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5222 - Kinesiology II,Credit(s): 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5226 - Therapeutic Exercise,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5228 - Basic Procedures,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5240 - Neuromusculoskeletal Conditions,Credit(s): 4 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5241 - Clinical Research and Design,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5250 - Neuropathology,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5251 - Neurological Conditions I,Credit(s): 0-4 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5261 - Musculoskeletal Conditions I,Credit(s): 0 or 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5263 - Musculoskeletal Conditions III,Credit(s): 0 or 4 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5271 - Patient Management I,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5276 - Documentation,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 5290 - Skills Practicum,Credit(s): 0-1 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 5291 - Clinical Experience IA,Credit(s): 0-2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 5890 - Special Topics: Clinical Rotation IV,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 5930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 5980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 6072 - Patient Management II,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6077 - Department Administration,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6091 - Clinical Experience IB,Credit(s): 1 or 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6092 - Clinical Experience IIA,Credit(s): 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6116 - Professional Development II,Credit(s): 1 or 2 Credits (Repeatable up to 2 credits),DPT 5215,NaN,Physical Therapy (DPT)
DPT 6124 - Biomechanical Interventions,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6138 - Concepts of Wellness,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6152 - Neurological Conditions II,Credit(s): 0-2 Credits (Repeatable up to 2 credits),NaN,NaN,Physical Therapy (DPT)
DPT 6164 - Musculoskeletal Conditions IV,Credit(s): 0-3 Credits (Repeatable up to 3 credits),NaN,NaN,Physical Therapy (DPT)
DPT 6173 - Patient Management III,Credit(s): 0 or 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6178 - Applied Administration and Management,Credit(s): 1 or 2 Credits (Repeatable up to 2 credits),NaN,NaN,Physical Therapy (DPT)
DPT 6180 - Geriatrics Seminar,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6181 - Manual Therapy of the Spine and Extremities,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6182 - Seminar in Adult Neurologic Physical Therapy,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6183 - Seminar in Physical Therapy - Pediatrics,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6184 - Sports Physical Therapy,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6185 - Women's and Pelvic Health Seminar,Credit(s): 1 Credit,NaN,NaN,Physical Therapy (DPT)
DPT 6192 - Clinical Experience IIB,Credit(s): 0 or 2 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6293 - Clinical Experience III,Credit(s): 0-3 Credits (Repeatable up to 3 credits),NaN,NaN,Physical Therapy (DPT)
DPT 6294 - Clinical Experience IV,Credit(s): 0 or 3 Credits,NaN,NaN,Physical Therapy (DPT)
DPT 6930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
DPT 6980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Physical Therapy (DPT)
PAED 5010 - Professional & Psychosocial Issues of Physician Assistant Practice,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5040 - Physiology,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5070 - Principles of the Medical Interview,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5110 - Dermatology Fundamentals,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5120 - Hematology Fundamentals,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5130 - Otorhinolaryngology and Ophthalmology Fundamentals,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5140 - Clinical Procedures I,Credit(s): 1 Credit,NaN,NaN,Physician Assistant Education (PAED)
PAED 5150 - Clinical Pharmacology I,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5201 - Clinical Pharmacology II A,Credit(s): 1 Credit,NaN,NaN,Physician Assistant Education (PAED)
PAED 5202 - Clinical Pharmacology II B,Credit(s): 1 Credit,NaN,NaN,Physician Assistant Education (PAED)
PAED 5211 - Pulmonary Fundamentals I,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5212 - Pulmonary Fundamentals II,Credit(s): 1 Credit,NaN,NaN,Physician Assistant Education (PAED)
PAED 5221 - Cardiovascular Fundamentals I,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5222 - Cardiovascular Fundamentals II,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5231 - Gastroenterology Fundamentals I,Credit(s): 1 Credit,NaN,NaN,Physician Assistant Education (PAED)
PAED 5232 - Gastroenterology Fundamentals II,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5240 - Nephrology and Genitourinary Fundamentals,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5250 - Endocrinology Fundamentals,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5300 - Evidence-Based Medicine,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5310 - Orthopedics and Rheumatology Fundamentals,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5320 - Neurology Fundamentals,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5330 - Essentials of Surgery,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5340 - Essentials of Emergency Medicine,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5360 - Essentials of Pediatrics,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5370 - Essentials of Behavioral Medicine,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5380 - Essentials of Obstetrics and Gynecology,Credit(s): 2 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5400 - Clinical: Internal Medicine,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5420 - Clinical: Family Medicine,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5510 - Clinical:Surgery,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5600 - Clinical: Pediatrics,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5700 - Clinical: Behavioral Medicine,Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
"PAED 5750 - Clinical: Obstetrics, Gynecology and Women's Health",Credit(s): 3 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5800 - Clinical: Emergency Medicine,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5860 - Clinical: Evidence-Based Medicine Clerkship,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 5890 - Clinical: Elective,Credit(s): 4 Credits,NaN,NaN,Physician Assistant Education (PAED)
PAED 6000 - Graduate Seminar,Credit(s): 1 Credit (Repeatable for credit),NaN,NaN,Physician Assistant Education (PAED)
